"Enabled","Enabled"
"Title","Title"
"Sandbox Mode","Sandbox Mode"
"Quota Limit", "Quota Limit"
"Select quota that can be selected if applicable","Select quota that can be selected if applicable"
"Note in checkout","Note in checkout"
"Sort Order","Sort Order"
"Enable Debug","Enable Debug"
"Get Sandbox Keys: https://dashboard.stripe.com/test/apikeys", "Get Sandbox Keys: https://dashboard.stripe.com/test/apikeys"
"Get Live Keys: https://dashboard.stripe.com/apikeys","Get Live Keys: https://dashboard.stripe.com/apikeys"
